Timestamp,Temperature,Gas,Humidity,Pressure
1586339845,25,12887829,28,1022
1586339846,25,12887829,28,1022
1586339847,25,12887829,28,1022
1586339848,25,12887829,28,1022
1586339849,25,12887829,28,1022
1586339850,25,12887829,28,1022
1586339851,25,12887829,28,1022
1586339852,25,12887829,28,1022
1586339853,25,12887829,28,1022
1586339855,25,12887829,28,1022
1586339856,25,12887829,28,1022
1586339857,25,12887829,28,1022
1586339858,25,12887829,28,1021
1586339859,26,12887829,28,1021
1586339860,27,12887829,28,1021
1586339861,28,12887829,27,1021
1586339862,28,12887829,27,1021
1586339863,29,12887829,26,1021
1586339864,30,12887829,25,1021
1586339865,31,12887829,24,1021
1586339866,32,12887829,24,1021
1586339867,32,12887829,23,1021
1586339868,33,12887829,22,1021
1586339869,34,12887829,22,1021
1586339870,34,12887829,21,1021
1586339871,35,12887829,20,1021
1586339872,35,12887829,20,1021
1586339873,35,12887829,19,1021
1586339874,36,12887829,19,1021
1586339875,36,12887829,18,1021
1586339876,36,12887829,18,1021
1586339878,36,12887829,18,1021
1586339879,37,12887829,17,1021
1586339880,37,12887829,17,1021
1586339881,37,12887829,17,1021
1586339882,37,12887829,17,1021
1586339883,37,12887829,17,1021
1586339884,37,12887829,17,1021
1586339885,37,12887829,17,1021
1586339886,37,12887829,17,1021
1586339887,37,12887829,17,1021
1586339888,37,12887829,17,1021
1586339889,37,12887829,17,1021
1586339890,36,12887829,16,1021
1586339891,36,12887829,16,1021
1586339892,36,12887829,16,1021
1586339893,36,12887829,16,1021
1586339894,36,12887829,17,1021
1586339895,36,12887829,17,1021
1586339896,36,12887829,17,1021
1586339897,37,12887829,17,1021
1586339898,37,12887829,16,1021
1586339899,38,12887829,16,1021
1586339900,38,12887829,16,1021
1586339902,39,12887829,15,1021
1586339903,39,12887829,15,1021
1586339904,40,12887829,15,1021
1586339905,40,12887829,15,1021
1586339906,40,12887829,14,1021
1586339907,41,12887829,14,1021
1586339908,41,12887829,14,1021
1586339909,41,12887829,14,1021
1586339910,41,12887829,14,1021
1586339911,41,12887829,14,1021
1586339912,40,12887829,14,1021
1586339913,40,12887829,14,1021
1586339914,40,12887829,14,1021
1586339915,40,12887829,14,1021
1586339916,40,12887829,14,1021
1586339917,40,12887829,14,1021
1586339918,40,12887829,14,1021
1586339919,40,12887829,14,1021
1586339920,40,12887829,14,1021
1586339921,40,12887829,14,1021
1586339922,39,12887829,14,1021
1586339923,39,12887829,14,1021
1586339925,39,12887829,14,1021
1586339926,39,12887829,14,1021
1586339927,39,12887829,14,1021
1586339928,38,12887829,14,1021
1586339929,37,12887829,14,1021
1586339930,36,12887829,15,1021
1586339931,36,12887829,15,1021
1586339932,35,12887829,15,1021
