Timestamp,Temperature,Gas,Humidity,Pressure
1586339497,28,12887829,24,1022
1586339498,28,12887829,24,1022
1586339499,28,12887829,24,1022
1586339500,28,12887829,24,1022
1586339501,28,12887829,24,1022
1586339502,28,12887829,24,1022
1586339503,28,12887829,24,1022
1586339504,28,12887829,24,1022
1586339505,28,12887829,24,1022
1586339506,28,12887829,24,1022
1586339507,28,12887829,24,1022
1586339509,28,12887829,24,1022
1586339510,28,12887829,24,1022
1586339511,28,12887829,24,1022
1586339512,28,12887829,24,1022
1586339513,28,12887829,24,1022
1586339514,28,12887829,24,1022
1586339515,28,12887829,24,1021
1586339516,28,12887829,24,1022
1586339517,28,12887829,24,1022
1586339518,27,12887829,24,1022
1586339519,27,12887829,24,1022
1586339520,27,12887829,24,1022
1586339521,27,12887829,25,1021
1586339522,27,12887829,25,1021
1586339523,27,12887829,25,1021
1586339524,27,12887829,25,1021
1586339525,27,12887829,25,1021
1586339526,27,12887829,25,1021
1586339527,27,12887829,25,1021
1586339528,27,12887829,25,1021
1586339529,27,12887829,25,1021
1586339530,27,12887829,25,1021
1586339532,27,12887829,25,1022
1586339533,26,12887829,26,1022
1586339534,26,12887829,26,1022
1586339535,26,12887829,26,1022
1586339536,26,12887829,26,1022
1586339537,26,12887829,26,1022
1586339538,26,12887829,26,1022
1586339539,26,12887829,26,1022
1586339540,26,12887829,26,1022
1586339541,26,12887829,26,1022
1586339542,26,12887829,26,1022
1586339543,26,12887829,26,1022
1586339544,26,12887829,27,1022
1586339545,26,12887829,27,1022
1586339546,25,12887829,27,1022
1586339547,25,12887829,27,1022
1586339548,25,12887829,27,1022
1586339549,25,12887829,27,1022
1586339550,25,12887829,27,1021
1586339551,25,12887829,27,1021
1586339552,25,12887829,27,1021
1586339553,26,12887829,27,1021
1586339554,26,12887829,27,1021
1586339556,26,12887829,27,1022
1586339557,26,12887829,27,1022
1586339558,26,12887829,27,1022
1586339559,26,12887829,27,1022
1586339560,26,12887829,27,1022
1586339561,26,12887829,27,1022
1586339562,26,12887829,27,1022
1586339563,26,12887829,27,1022
1586339564,26,12887829,27,1021
1586339565,27,12887829,27,1021
1586339566,28,12887829,27,1021
1586339567,29,12887829,26,1021
1586339568,30,12887829,25,1021
1586339569,31,12887829,25,1022
1586339570,32,12887829,24,1022
1586339571,32,12887829,23,1022
1586339572,32,12887829,22,1022
1586339573,33,12887829,22,1022
1586339574,33,12887829,21,1022
1586339575,33,12887829,21,1022
1586339576,33,12887829,21,1022
1586339577,33,12887829,21,1022
1586339579,33,12887829,20,1022
1586339580,33,12887829,20,1022
1586339581,33,12887829,20,1022
